"Periodo" "Id" "Mora_Avg" "Mora_Max" "Monto" "Num_Ifis" "Num_Cast" "Est_Civil" "Genero" "Plazo" "Cuota" "Ind_Pago" "Ind_Pago_Num" "Ind_Pago_Num_I0" "Ind_Pago_Num_I1" "Partition"
"1" 201201 3 5 5 1400 1 0 "Union Libre" "Masculino" 18 88 "Pay" 1 1 1 "1_Training"
"2" 201201 4 0 0 700 0 0 "Divorsiado" "Masculino" 12 63.51 "Pay" 1 1 1 "1_Training"
"3" 201201 7 1 1 800 0 0 "Casado" "Masculino" 12 72.58 "Pay" 1 1 1 "1_Training"
"4" 201201 8 5 5 1100 0 0 "Soltero" "Masculino" 18 69.14 "Pay" 1 1 1 "1_Training"
"5" 201201 9 3 3 1500 1 0 "Divorsiado" "Masculino" 18 94.28 "Pay" 1 1 1 "1_Training"
"6" 201201 10 0 0 1600 1 0 "Soltero" "Femenino" 24 78.34 "Pay" 1 1 1 "1_Training"
"7" 201201 11 0 0 1100 0 0 "Divorsiado" "Masculino" 18 69.14 "Pay" 1 1 1 "1_Training"
"8" 201201 12 3 3 1100 0 0 "Divorsiado" "Masculino" 18 69.14 "Pay" 1 1 1 "1_Training"
"9" 201201 13 0 1 600 0 0 "Union Libre" "Femenino" 12 54.44 "Pay" 1 1 1 "1_Training"
"10" 201201 15 4 4 800 0 0 "Casado" "Masculino" 12 72.58 "Pay" 1 1 1 "1_Training"
"11" 201201 18 0 0 700 0 1 "Divorsiado" "Masculino" 12 63.51 "Pay" 1 1 1 "1_Training"
"12" 201201 21 0 0 700 0 1 "Soltero" "Femenino" 12 63.51 "Pay" 1 1 1 "1_Training"
"13" 201201 22 0 0 1000 1 1 "Soltero" "Femenino" 12 90.73 "Pay" 1 1 1 "1_Training"
"14" 201201 23 0 0 1400 0 0 "Soltero" "Masculino" 18 88 "Pay" 1 1 1 "1_Training"
"15" 201201 33 1 1 1000 0 0 "Casado" "Masculino" 12 90.73 "Pay" 1 1 1 "1_Training"
"16" 201201 38 1 1 500 0 0 "Divorsiado" "Femenino" 6 87.27 "Pay" 1 1 1 "1_Training"
"17" 201201 39 2 2 1300 0 1 "Union Libre" "Femenino" 18 81.71 "Pay" 1 1 1 "1_Training"
"18" 201201 44 0 0 700 0 0 "Union Libre" "Femenino" 12 63.51 "Pay" 1 1 1 "1_Training"
"19" 201201 45 0 0 600 1 0 "Casado" "Masculino" 12 54.44 "Pay" 1 1 1 "1_Training"
"20" 201201 46 6 6 1400 0 0 "Divorsiado" "Masculino" 18 88 "Pay" 1 1 1 "1_Training"
"21" 201201 52 1 3 900 0 0 "Casado" "Masculino" 12 81.66 "Pay" 1 1 1 "1_Training"
"22" 201201 55 11 11 1800 4 1 "Casado" "Masculino" 24 88.13 "Indte" -1 0 1 "1_Training"
"23" 201201 56 19 19 1700 2 2 "Union Libre" "Masculino" 24 83.24 "NoPay" 0 0 0 "1_Training"
"24" 201201 58 17 17 2000 1 0 "Divorsiado" "Masculino" 24 97.93 "NoPay" 0 0 0 "1_Training"
"25" 201201 65 17 17 2300 3 1 "Casado" "Masculino" 24 112.62 "NoPay" 0 0 0 "1_Training"
"26" 201201 70 15 15 1700 4 1 "Divorsiado" "Masculino" 24 83.24 "NoPay" 0 0 0 "1_Training"
"27" 201201 71 12 12 2200 2 2 "Casado" "Femenino" 24 107.72 "NoPay" 0 0 0 "1_Training"
"28" 201201 75 11 11 1000 4 1 "Casado" "Masculino" 12 90.73 "Indte" -1 0 1 "1_Training"
"29" 201201 87 16 16 1600 4 1 "Divorsiado" "Masculino" 24 78.34 "NoPay" 0 0 0 "1_Training"
"30" 201201 88 16 16 2000 4 3 "Casado" "Masculino" 24 97.93 "NoPay" 0 0 0 "1_Training"
"31" 201201 89 10 12 1700 3 3 "Casado" "Femenino" 24 83.24 "NoPay" 0 0 0 "1_Training"
"32" 201201 92 11 13 1900 3 1 "Divorsiado" "Femenino" 24 93.03 "NoPay" 0 0 0 "1_Training"
"33" 201201 93 15 15 1300 2 3 "Union Libre" "Femenino" 18 81.71 "NoPay" 0 0 0 "1_Training"
